Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Albania,ALB,Human capital (constant 2018 US$),NW.HCA.TO,44900000000.00,43400000000.00,37100000000.00,38800000000.00,42200000000.00,43600000000.00,47600000000.00,48500000000.00,52100000000.00,52300000000.00,54400000000.00,56900000000.00,59400000000.00,63400000000.00,66100000000.00,68100000000.00,68500000000.00,70800000000.00,71600000000.00,72500000000.00,73700000000.00,75700000000.00,78000000000.00,81200000000.00
Albania,ALB,Human capital per capita (constant 2018 US$),NW.HCA.PC,14072.79,13708.99,11794.10,12399.48,13573.26,14118.13,15564.46,15906.19,17132.03,17262.12,18072.30,19001.13,19999.08,21523.57,22582.00,23362.86,23590.58,24393.97,24731.62,25090.02,25593.71,26326.26,27160.86,28333.68
Albania,ALB,"Human capital per capita, employed female (constant 2018 US$)",NW.HCA.FEMP.PC,3468.86,3355.55,2869.00,3013.39,3259.89,3424.01,3783.82,3906.70,2016.02,2086.85,2222.12,2323.01,2465.25,2664.13,2825.34,2889.15,2848.52,2930.23,2954.27,2957.42,2987.55,3072.50,3178.42,3312.93
Albania,ALB,"Human capital per capita, employed male (constant 2018 US$)",NW.HCA.MEMP.PC,6507.93,6353.74,5466.69,5901.07,6492.73,6872.02,7607.77,7820.39,10641.06,10969.67,11689.35,12268.48,13086.02,14232.03,15253.19,15789.92,15798.54,16473.60,16810.13,16991.38,17307.01,17817.10,18445.94,19245.19
Albania,ALB,"Human capital per capita, female (constant 2018 US$)",NW.HCA.FEMA.PC,4893.01,4737.86,4059.32,4191.45,4536.97,4695.07,5169.88,5298.90,2728.79,2759.04,2886.74,3025.04,3170.33,3393.76,3529.14,3613.61,3603.69,3683.81,3696.74,3719.61,3767.63,3872.14,3992.19,4161.14
Albania,ALB,"Human capital per capita, male (constant 2018 US$)",NW.HCA.MALE.PC,9179.78,8971.14,7734.78,8208.04,9036.29,9423.06,10394.58,10607.29,14403.24,14503.08,15185.56,15976.09,16828.75,18129.81,19052.86,19749.26,19986.89,20710.16,21034.87,21370.41,21826.08,22454.12,23168.67,24172.54
Albania,ALB,"Human capital per capita, self-employed female (constant 2018 US$)",NW.HCA.FSEM.PC,1424.15,1382.31,1190.32,1178.05,1277.08,1271.06,1386.06,1392.20,712.77,672.19,664.62,702.03,705.08,729.64,703.81,724.46,755.17,753.58,742.47,762.19,780.08,799.64,813.77,848.21
Albania,ALB,"Human capital per capita, self-employed male (constant 2018 US$)",NW.HCA.MSEM.PC,2671.85,2617.40,2268.09,2306.96,2543.56,2551.04,2786.81,2786.90,3762.18,3533.42,3496.21,3707.61,3742.73,3897.78,3799.67,3959.34,4188.35,4236.56,4224.74,4379.03,4519.07,4637.01,4722.72,4927.36
Albania,ALB,"Human capital, employed female (constant 2018 US$)",NW.HCA.FEMP.TO,11100000000.00,10600000000.00,9030000000.00,9430000000.00,10100000000.00,10600000000.00,11600000000.00,11900000000.00,6130000000.00,6320000000.00,6690000000.00,6950000000.00,7320000000.00,7850000000.00,8270000000.00,8420000000.00,8280000000.00,8500000000.00,8550000000.00,8540000000.00,8610000000.00,8840000000.00,9130000000.00,9500000000.00
Albania,ALB,"Human capital, employed male (constant 2018 US$)",NW.HCA.MEMP.TO,20700000000.00,20100000000.00,17200000000.00,18500000000.00,20200000000.00,21200000000.00,23300000000.00,23900000000.00,32300000000.00,33200000000.00,35200000000.00,36700000000.00,38900000000.00,41900000000.00,44700000000.00,46000000000.00,45900000000.00,47800000000.00,48700000000.00,49100000000.00,49900000000.00,51200000000.00,53000000000.00,55200000000.00
